"Course","Title","Credits","Hours","requisites","moreinfo","description"
"AHSE0112","The Olin Conductorless Orchestra","1 AHSE","2-0-1","Audition required.","For information contact: Dabby, Diana","The Olin Conductorless Orchestra (OCO) - an ensemble, minus conductor - features instrumentalists in leadership and collaborative roles. Dedicated to orchestral performance in the concerted spirit of chamber music, the orchestra forges individual participation, active listening,and group-motivation into performances that have established it as the only conductorless orchestra of its kind at an American college. (A student can apply up to 4 OCO credits to the 28 required credits in AHSE, or can petition to apply up to 4 OCO credits to the AHS concentration. Any additional credits, i.e., more than 4, earned by a student enrolling in OCO will show up as additional AHS credits, but will not count toward satisfying the requisite 28 credits in AHSE.)"
"AHSE1122","The Wired Ensemble - Instruments, Voices, Players","4 AHSE","4-0-8","Ability to read music.","For information contact: Dabby, Diana","Three concurrent streams comprise The Wired Ensemble:"
"AHSE1100","History of Technology: A Cultural & Contextual Approach","4 AHSE","4-0-8","","For information contact: Martello, Robert","Throughout this semester we will use different history of technology narratives to explore larger themes. Our narrative case studies will range from bronze age societal studies to cutting edge computing and Internet technologies, and throughout the semester we will compare and contrast these narratives in search of larger trends. We will also identify and investigate broader issues such as large technological systems; paradigms and scientific revolutions; technologies and political values; ethical theories; and the environmental and sustainability implications of technologies. Throughout the semester we will engage these narratives and broader issues through targeted writing activities, debates, individual and group presentations, at least one field trip, movie and media studies, and numerous in-class discussions. Students will have a high degree of autonomy, and will set and evaluate their own learning objectives, determine the topic for final projects, and design and facilitate in-class activities throughout the semester."
"AHSE1130","Seeing and Hearing: Communicating with Photographs, Video and Sound","4 AHSE","4-0-8","","For information contact: Donis-Keller, Helen","Seeing and Hearing is a foundation course that is about the communication of ideas developed by research, reflection, and evolving thought, using contemporary digital media tools as a vehicle for expression. In this project-based course, students will have opportunities for hands-on learning in audio recording and editing, photography and printing, and video recording and editing. Science and engineering content are integrated in order to provide a reasonably comprehensive understanding of the devices we use to gather sound and images and in order to understand more fully the properties of seeing and hearing. A major goal is to enlarge our awareness of the environment we inhabit and to respond to the perceived environment by producing original visual and sonic artwork. Students will complete projects including a self-portrait, a sound-piece that is used as an audio track for a short video, a video documentary, and a staged narrative. Our process is to share work through discussion sessions as we follow projects from their initial stages to completion and final presentation. Additional context for Seeing and Hearing is provided by selected readings, visits by guest lecturers, additional faculty and staff participation and by viewing work of other professional practitioners. This course does not require prior experience with image/sound gathering or editing."
"AHSE1135","The Digital Eye: Photography, Vision, and Visual Communication","4 AHSE","4-0-8","","For information contact: Donis-Keller, Helen","We live in a world that is fundamentally visual and yet formal teaching and learning about visual communication is almost entirely reserved for specialists. Similarly learning about the evolution of vision and the molecular foundations of human vision are not often dealt with in introductory biology courses. This course seeks to remedy the lack of engagement with these topics at the foundational course level. In this studio-based project-oriented course students will develop an understanding of what it takes to make original art through first-hand experiences in a supportive environment. As a means to this end, students will gain facility with digital single- lens reflex (DSLR) cameras, digital photo editing and printing methods using state-of-the-art equipment. As this is an AHS foundation course students will also have an opportunity to further develop writing communication skills and critical thinking ability. The course will also address the history of photography, consider the work of a number of contemporary fine art photographers and answer the question ""Why has photography changed everything?"""
"AHSE1140","Culture & Difference: An Anthropological Approach","4 AHSE","4-0-8","","For information contact: Lynch, Caitrin","This course introduces students to key concepts and methods in cultural anthropology. Cultural anthropology is the study of how humans organize their lives as members of society, and the ways in which they make these lives meaningful. Through readings on such diverse topics as adolescence in Samoa, epilepsy among Hmong-Americans, and McDonald's in Hong Kong, this course will explore contemporary anthropological approaches to three central questions: 1) What is culture? 2) Does ""culture"" explain why people do what they do and believe what they believe? 3) What fate and value do cultural differences have in today's interconnected world?"
"AHSE1145","The Human Connection: Tools and Concepts from Anthropology for Understanding Today's World","4 AHSE","4-0-8","","For information contact: Lynch, Caitrin","The book 'Wired to Care' opens with the story of a designer who disguised herself as an elderly person to better understand the experiences of the elderly in our society. Author Dev Patnaik explains his interest in this experiment. It comes down to empathy: ?All of this is to reclaim a very old idea, that quantitative data and facts are no substitute for real-world experience and human connection.? Anthropologists have long-argued for the importance of putting oneself in other people?s shoes for better understanding. The anthropologist Bronislaw Malinowski wrote in 1922 that the goal of the anthropologist ?is to grasp the native's point of view, his relation to life, to realize his vision of his world."" In this course, students will try out the anthropological methods of participation, observation, interviews, and analysis of cultural materials and texts. This is a hands-on course for students who want to get out and meet people ? all with the aim of greater understanding. The course focuses on three thematic topics important to our society in the twenty-first century. Past offerings have focused on aging, religion, health, and globalization. The class includes assignments, events, and interactions that will take students off campus (perhaps to the Needham Senior Center, local coffee shops, and to Boston?s ethnic neighborhoods) and will include visitors from area institutions."
"AHSE1150","What is 'I'?","4 AHSE","4-0-8","","For information contact: Stein, Lynn Andrea","This interdisciplinary exploration of identity draws on a diverse range of genres in the Humanities, Social Sciences, Arts and Sciences. Prior offerings have drawn from Anthropology, Artificial Intelligence, Biology, Film, History, Literature, Memoir, Neuroscience, Philosophy, Psychology, Political Science, Science Fiction, Sociology, and Visual Arts."
"AHSE1155","Identity from the Mind & the Brain: Who Am I and How Do I Know","4 AHSE","4-0-8","","For information contact: Adler, Jonathan","Perhaps the most fundamental question any developing individual asks himself/herself is: who am I? The ways we answer this question have evolved over the course of history as the dominant ways of knowing (epistemologies) have shifted. Indeed, the question of how we come to know ourselves has captivated Western scholars since the days of Descartes, but a look at the last fifty to sixty years has also seen enormous changes. Many people invoke psychological and philosophical perspectives in describing their identity, focusing on their personality, their developmental history, and their place in society. But the explosion of neurobiological research has introduced a new and viable outlook: explaining identity at the chemical and electrical level of the brain. There is good reason to think that these different perspectives on identity are mutually exclusive and this tension will underlie everything we discuss in this interdisciplinary course. Indeed, when it comes to a topic as fundamental to human existence as identity, it is absolutely essential to wonder not only ""who am I?"" but to also ask ""how do I know?"" In this course, we will approach the question of identity from multiple perspectives, including psychology, postmodern philosophy, and neuroscience. In the process, we will critically examine not only the conception of identity that each perspective supports, but also the assumptions and limitations of each epistemology. This course focuses more on the science of psychology and neuroscience, while AHSE 1150: What Is ""I""? is more focused on philosophy and artificial intelligence."
"AHSE2112","Six Books that Changed the World","2 AHSE","4-0-8","AHS Foundation","For information contact: Martello, Robert","Why and how do certain books reshape the course of human history? In this course, we will explore six books, selected from different times, societies, and genres, that have had an unquestionably major impact upon the world in which we live. Class meetings will alternate between contextual studies of the historical context of each book (including the author's background, the political and social setting, and other factors) and careful analyses of the works themselves. Our discussions will investigate each book's contemporary and modern impact while also exploring the qualities that caused all of our selections to have such an enduring and global effect. Students will be expected to contribute to class discussions, make presentations, and write a report on an additional book of their choosing. NOTE: this course will be offered during the first half of the semester, will meet twice a week, and will require approximately 12 hours of student effort each week."
